sku,country,unit,seller,min_price,min_price_date,max_price,max_price_date,current_price,current_price_date,average_price
B003UOWDCG,France,€,new,0.3,2018-10-29 00:00:00,22.39,2022-11-02 00:00:00,,,3.3
B003UOWDCG,France,€,used,1.3,2019-09-17 00:00:00,3.25,2020-07-20 00:00:00,,,2.1
B003Y6ISWO,France,€,amazon,2.99,2022-05-16 00:00:00,7.9,2022-10-20 00:00:00,4.97,2024-01-05 00:00:00,7.36
B003Y6ISWO,France,€,new,3.32,2017-12-13 00:00:00,14.47,2023-03-07 00:00:00,,,10.89
B003Y6ISWO,France,€,used,3.04,2022-08-25 00:00:00,4.35,2023-09-14 00:00:00,,,3.85
B0061J9OME,France,€,amazon,116.99,2022-04-01 00:00:00,245.04,2024-01-19 00:00:00,245.04,2024-01-19 00:00:00,180.1
B0061J9OME,France,€,new,114.12,2016-05-09 00:00:00,243.42,2023-12-20 00:00:00,,,189.0
B0061J9OME,France,€,used,80.92,2020-01-13 00:00:00,185.36,2023-01-24 00:00:00,152.87,2024-01-18 00:00:00,136.08
B008YETL18,France,€,amazon,8.99,2021-11-17 00:00:00,21.66,2015-03-14 00:00:00,9.99,2024-01-10 00:00:00,14.14
B008YETL18,France,€,new,0.95,2017-06-21 00:00:00,31.39,2022-11-04 00:00:00,,,13.28
B008YETL18,France,€,used,1.99,2023-10-06 00:00:00,38.0,2018-08-28 00:00:00,,,13.88
B0092MEP58,France,€,amazon,10.08,2017-11-19 00:00:00,28.68,2022-04-06 00:00:00,,,20.92
B0092MEP58,France,€,new,8.0,2018-07-26 00:00:00,37.6,2013-09-21 00:00:00,35.99,2024-01-18 00:00:00,17.45
B0092MEP58,France,€,used,8.17,2015-03-29 00:00:00,22.91,2023-01-17 00:00:00,,,18.93
B00H5NQVQW,France,€,amazon,5.41,2016-06-23 00:00:00,15.52,2021-09-03 00:00:00,9.9,2023-12-01 00:00:00,9.45
B00H5NQVQW,France,€,new,2.27,2017-12-13 00:00:00,9.96,2019-12-29 00:00:00,,,7.89
B00H5NQVQW,France,€,used,5.25,2020-02-21 00:00:00,35.6,2017-05-13 00:00:00,,,7.43
B00REB9VTO,France,€,amazon,7.85,2020-09-04 00:00:00,18.4,2023-07-28 00:00:00,,,12.61
B00REB9VTO,France,€,new,3.0,2018-06-20 00:00:00,34.0,2022-06-27 00:00:00,13.75,2024-01-18 00:00:00,13.85
B00REB9VTO,France,€,used,3.75,2016-09-07 00:00:00,12.95,2017-04-08 00:00:00,,,10.48
B00X7792IE,France,€,amazon,2.94,2019-06-18 00:00:00,11.07,2022-02-10 00:00:00,6.9,2023-12-31 00:00:00,6.29
B00X7792IE,France,€,new,3.29,2019-07-31 00:00:00,14.71,2018-09-02 00:00:00,,,6.34
B00X7792IE,France,€,used,2.79,2020-02-11 00:00:00,6.83,2023-12-31 00:00:00,,,4.83
B01539XFLI,France,€,amazon,3.91,2020-03-06 00:00:00,11.61,2020-01-29 00:00:00,9.99,2024-01-07 00:00:00,9.42
B01539XFLI,France,€,new,2.47,2023-01-01 00:00:00,14.87,2021-11-18 00:00:00,,,13.45
B01539XFLI,France,€,used,3.83,2020-03-06 00:00:00,13.06,2018-09-24 00:00:00,8.89,2024-01-17 00:00:00,9.31
B019H693FA,France,€,amazon,,,,,,,
B019H693FA,France,€,new,19.01,2020-07-07 00:00:00,69.0,2021-11-16 00:00:00,36.9,2024-01-09 00:00:00,37.36
B019H693FA,France,€,used,22.49,2019-01-10 00:00:00,43.8,2023-03-22 00:00:00,36.53,2024-01-18 00:00:00,37.73
B01BGBJ8Y0,France,€,amazon,13.99,2023-11-17 00:00:00,39.99,2020-10-07 00:00:00,23.95,2023-12-15 00:00:00,22.59
B01BGBJ8Y0,France,€,new,11.96,2017-01-17 00:00:00,87.04,2020-03-21 00:00:00,23.55,2024-01-18 00:00:00,27.55
B01BGBJ8Y0,France,€,used,5.0,2017-01-18 00:00:00,69.99,2020-05-30 00:00:00,18.84,2024-01-19 00:00:00,19.77
B01FFOY006,France,€,amazon,17.49,2020-10-21 00:00:00,33.56,2020-05-26 00:00:00,21.99,2024-01-12 00:00:00,24.3
B01FFOY006,France,€,new,15.0,2019-05-13 00:00:00,32.33,2023-10-10 00:00:00,,,26.05
B01FFOY006,France,€,used,17.3,2019-09-14 00:00:00,26.11,2017-08-19 00:00:00,,,22.66
B01GVQUX3U,France,€,amazon,39.9,2018-06-08 00:00:00,84.48,2018-12-18 00:00:00,,,58.0
B01GVQUX3U,France,€,new,28.99,2020-11-15 00:00:00,109.99,2021-06-13 00:00:00,,,61.39
B01GVQUX3U,France,€,used,21.0,2023-06-23 00:00:00,131.0,2018-01-03 00:00:00,54.0,2024-01-19 00:00:00,51.65
B01HTTQ6A2,France,€,amazon,24.9,2019-10-16 00:00:00,50.99,2022-02-23 00:00:00,44.9,2024-01-04 00:00:00,46.52
B01HTTQ6A2,France,€,new,10.93,2019-07-11 00:00:00,80.25,2016-10-11 00:00:00,,,42.32
B01HTTQ6A2,France,€,used,18.68,2019-10-17 00:00:00,54.34,2022-10-27 00:00:00,,,39.47
B01HZ5K8UE,France,€,amazon,29.9,2022-11-30 00:00:00,89.8,2020-01-21 00:00:00,29.9,2024-01-15 00:00:00,37.0
B01HZ5K8UE,France,€,new,42.66,2023-09-02 00:00:00,124.99,2019-03-10 00:00:00,,,57.77
B01HZ5K8UE,France,€,used,26.06,2023-06-22 00:00:00,80.64,2019-06-13 00:00:00,29.0,2024-01-15 00:00:00,44.01
B01IZVSAKC,France,€,amazon,27.99,2019-06-08 00:00:00,74.96,2017-06-01 00:00:00,,,57.06
B01IZVSAKC,France,€,new,28.06,2019-04-30 00:00:00,86.75,2021-08-21 00:00:00,51.83,2024-01-19 00:00:00,49.56
B01IZVSAKC,France,€,used,18.84,2019-08-09 00:00:00,49.01,2017-12-11 00:00:00,,,40.75
B01JP3M6O0,France,€,amazon,16.53,2019-05-02 00:00:00,29.99,2017-03-06 00:00:00,17.75,2020-03-19 00:00:00,20.54
B01JP3M6O0,France,€,new,13.0,2019-09-07 00:00:00,32.06,2017-05-30 00:00:00,,,20.4
B01JP3M6O0,France,€,used,8.22,2019-10-09 00:00:00,18.22,2018-11-16 00:00:00,16.51,2020-03-19 00:00:00,11.06
B01KHILJ5O,France,€,amazon,12.99,2024-01-09 00:00:00,36.55,2020-06-28 00:00:00,12.99,2024-01-09 00:00:00,19.81
B01KHILJ5O,France,€,new,11.14,2018-12-18 00:00:00,34.0,2020-02-27 00:00:00,,,18.71
B01KHILJ5O,France,€,used,10.32,2020-03-06 00:00:00,22.11,2022-10-28 00:00:00,12.42,2024-01-17 00:00:00,17.03
B01KHIM7OG,France,€,amazon,9.9,2022-04-01 00:00:00,40.37,2019-03-05 00:00:00,9.99,2023-12-30 00:00:00,13.99
B01KHIM7OG,France,€,new,9.99,2022-03-02 00:00:00,35.0,2019-01-23 00:00:00,,,19.55
B01KHIM7OG,France,€,used,7.99,2024-01-06 00:00:00,20.49,2018-12-26 00:00:00,9.29,2024-01-18 00:00:00,11.79
B01N1UX8RW,France,€,amazon,22.79,2023-11-17 00:00:00,41.0,2023-09-23 00:00:00,22.79,2024-01-16 00:00:00,31.82
B01N1UX8RW,France,€,new,23.61,2023-05-08 00:00:00,41.99,2021-04-19 00:00:00,,,30.2
B01N1UX8RW,France,€,used,18.46,2024-01-17 00:00:00,34.29,2019-02-26 00:00:00,21.42,2024-01-18 00:00:00,27.64
B071CP6X88,France,€,amazon,18.49,2020-01-31 00:00:00,46.03,2020-05-27 00:00:00,,,30.88
B071CP6X88,France,€,new,14.92,2018-09-28 00:00:00,97.49,2019-01-20 00:00:00,25.22,2024-01-19 00:00:00,35.27
B071CP6X88,France,€,used,17.51,2018-10-12 00:00:00,26.81,2018-09-28 00:00:00,,,23.84
B073PD6YRQ,France,€,amazon,17.49,2021-11-25 00:00:00,40.44,2019-05-31 00:00:00,29.99,2024-01-10 00:00:00,33.19
B073PD6YRQ,France,€,new,20.92,2020-02-10 00:00:00,43.46,2021-11-19 00:00:00,,,33.32
B073PD6YRQ,France,€,used,19.39,2022-11-25 00:00:00,33.97,2023-05-10 00:00:00,,,28.7
B073YQ5KSX,France,€,amazon,,,,,12.69,2023-09-15 00:00:00,
B073YQ5KSX,France,€,new,12.59,2018-10-11 00:00:00,16.59,2018-12-31 00:00:00,,,14.38
B073YQ5KSX,France,€,used,,,,,10.98,2023-09-15 00:00:00,
B073ZG6J9N,France,€,amazon,18.83,2021-12-10 00:00:00,54.99,2022-12-14 00:00:00,24.99,2024-01-18 00:00:00,28.06
B073ZG6J9N,France,€,new,24.0,2019-09-02 00:00:00,71.57,2017-10-26 00:00:00,,,36.64
B073ZG6J9N,France,€,used,17.37,2018-06-21 00:00:00,42.62,2017-10-16 00:00:00,22.73,2024-01-18 00:00:00,27.37
B075FC8ZJ3,France,€,amazon,21.59,2019-08-12 00:00:00,49.99,2023-06-15 00:00:00,32.99,2024-01-09 00:00:00,42.23
B075FC8ZJ3,France,€,new,19.99,2019-05-04 00:00:00,42.25,2021-10-20 00:00:00,,,37.18
B075FC8ZJ3,France,€,used,13.35,2018-06-09 00:00:00,39.86,2023-10-13 00:00:00,30.73,2024-01-19 00:00:00,32.08
B079RRVLGQ,France,€,amazon,11.87,2022-11-25 00:00:00,29.99,2019-01-12 00:00:00,17.95,2023-12-30 00:00:00,23.61
B079RRVLGQ,France,€,new,16.88,2020-02-25 00:00:00,35.53,2023-04-09 00:00:00,,,25.72
B079RRVLGQ,France,€,used,11.75,2023-11-25 00:00:00,49.0,2023-01-16 00:00:00,,,17.57
B07DGMWKK9,France,€,amazon,14.99,2019-11-28 00:00:00,25.9,2023-07-27 00:00:00,21.49,2023-11-24 00:00:00,22.89
B07DGMWKK9,France,€,new,10.6,2019-09-13 00:00:00,32.91,2021-01-09 00:00:00,,,26.42
B07DGMWKK9,France,€,used,13.19,2019-12-04 00:00:00,30.86,2020-03-16 00:00:00,19.73,2024-01-17 00:00:00,21.06
B07GS6ZS8J,France,€,amazon,34.99,2023-01-02 00:00:00,104.33,2018-12-26 00:00:00,59.43,2024-01-05 00:00:00,59.96
B07GS6ZS8J,France,€,new,43.5,2022-03-20 00:00:00,131.41,2018-11-22 00:00:00,,,61.83
B07GS6ZS8J,France,€,used,9.11,2022-07-27 00:00:00,85.54,2018-10-30 00:00:00,55.3,2024-01-17 00:00:00,45.83
B07GTWD7Z7,France,€,amazon,16.19,2019-05-31 00:00:00,32.99,2023-06-15 00:00:00,25.49,2023-10-09 00:00:00,24.36
B07GTWD7Z7,France,€,new,14.42,2019-08-11 00:00:00,78.74,2020-06-15 00:00:00,,,30.53
B07GTWD7Z7,France,€,used,8.82,2020-02-19 00:00:00,20.57,2019-11-20 00:00:00,,,17.34
B07L9WLKZQ,France,€,amazon,8.99,2023-03-24 00:00:00,18.8,2021-02-07 00:00:00,,,16.39
B07L9WLKZQ,France,€,new,7.64,2021-09-20 00:00:00,16.99,2020-05-25 00:00:00,10.99,2023-09-08 00:00:00,10.59
B07L9WLKZQ,France,€,used,7.78,2023-03-25 00:00:00,11.75,2020-06-16 00:00:00,,,9.43
B07MVPRSHZ,France,€,amazon,142.52,2020-03-10 00:00:00,289.1,2023-05-07 00:00:00,198.0,2023-11-23 00:00:00,217.84
B07MVPRSHZ,France,€,new,151.17,2019-08-28 00:00:00,395.03,2022-01-19 00:00:00,,,240.97
B07MVPRSHZ,France,€,used,98.34,2020-03-22 00:00:00,214.88,2023-03-21 00:00:00,155.36,2024-01-17 00:00:00,175.52
B0000C73CQ,Germany,€,amazon,12.0,2017-04-16 00:00:00,26.98,2014-08-15 00:00:00,15.95,2024-01-18 00:00:00,17.06
B0000C73CQ,Germany,€,new,8.4,2020-09-01 00:00:00,32.0,2014-08-10 00:00:00,,,18.35
B0000C73CQ,Germany,€,used,6.5,2016-06-06 00:00:00,36.66,2015-12-06 00:00:00,15.63,2024-01-18 00:00:00,16.36
B0002M6CVC,Germany,€,amazon,4.6,2016-11-29 00:00:00,7.66,2013-10-09 00:00:00,5.9,2022-07-13 00:00:00,5.96
B0002M6CVC,Germany,€,new,1.17,2017-02-26 00:00:00,10.23,2024-01-07 00:00:00,8.04,2024-01-18 00:00:00,7.28
B0002M6CVC,Germany,€,used,1.99,2015-01-12 00:00:00,17.27,2019-07-23 00:00:00,,,6.37
B0009G5BRW,Germany,€,amazon,2.75,2023-10-25 00:00:00,9.49,2018-02-04 00:00:00,8.49,2024-01-18 00:00:00,6.98
B0009G5BRW,Germany,€,new,0.9,2012-07-06 00:00:00,32.99,2020-03-17 00:00:00,6.94,2024-01-18 00:00:00,7.63
B0009G5BRW,Germany,€,used,4.24,2019-11-22 00:00:00,6.74,2018-06-07 00:00:00,,,5.91
